"path","slot","entity","width","height","bytes","referenced_by"
"/images/previews/the-great-book-of-world-myths/p23.webp","book-preview","the-great-book-of-world-myths","900","1350","125168",""
"/images/previews/the-great-book-of-world-myths/p24.webp","book-preview","the-great-book-of-world-myths","900","1350","118330",""
"/images/previews/the-great-book-of-world-myths/p25.webp","book-preview","the-great-book-of-world-myths","900","1350","33298",""
"/images/previews/the-myth-hunters-field-book/p14.webp","book-preview","the-myth-hunters-field-book","1100","1424","43470",""
"/images/previews/the-myth-hunters-field-book/p15.webp","book-preview","the-myth-hunters-field-book","1100","1424","44534",""
"/images/previews/the-myth-hunters-field-book/p16.webp","book-preview","the-myth-hunters-field-book","1100","1424","48218",""
"/images/previews/the-myth-hunters-field-book/p17.webp","book-preview","the-myth-hunters-field-book","1100","1424","40400",""
"/images/previews/the-puzzles-of-henry-dudeney/p29.webp","book-preview","the-puzzles-of-henry-dudeney","900","1350","142336",""
"/images/previews/the-puzzles-of-henry-dudeney/p30.webp","book-preview","the-puzzles-of-henry-dudeney","900","1350","66170",""
"/images/settings/settings_desk_scene.webp","page-atmosphere","settings/settings_desk_scene","1915","821","141684","src/components/settings/settings-hero.tsx"
"/images/settings/settings_export_chest.webp","page-atmosphere","settings/settings_export_chest","1448","1086","159130","src/components/settings/settings-hero.tsx"
