series,title,author,year,original_language,translator,translation_year,translator_death,pg_id,ia_id,other_source,rights_status,rights_note,commercial_value,catalog_fit,visual_potential,differentiation,production_difficulty,direct_economics,amazon_economics,seo,bundle,score,batch,channel,note
Mitoloji & Folklor (bölgesel derleme),Myths of the Norsemen: From the Eddas and Sagas,H. A. Guerber,1908,en,,,,28497,,,GREEN,Guerber ö.1929 → 2000 [V],4,5,4,3,2,4,2,5,5,84.0,3,both,"Kitap 11 (Norse, genç okur) için anlatı kaynağı; Anderson/Bellows ile üçlü"
Valice Classics (Stoa & Felsefe),A Selection from the Discourses of Epictetus with the Encheiridion,Epictetus,108,grc,George Long,1877,1879,10661,,,GREEN,[V],4,5,2,4,2,5,2,4,5,83.8,2,both,Kitap 05'in ikinci kaynağı
Mitoloji & Folklor (bölgesel derleme),Myths & Legends of the Celtic Race,T. W. Rolleston,1911,en,,,,34081,,,GREEN,Rolleston ö.1920 [V],4,5,4,3,3,4,2,5,5,82.4,3,both,Kelt cildi (Books 21–50: The Great Book of Celtic Myths kaynağı)
Bestiary & Yaratık,Curious Myths of the Middle Ages,Sabine Baring-Gould,1866,en,,,,36127,,,GREEN,Baring-Gould ö.1924 [V],3,5,4,4,2,4,2,5,4,82.4,3,both,"Bestiarium + Codex Heroica çapraz (Kayıp Yahudi, Tannhäuser, Prester John)"
Bestiary & Yaratık,The Book of Were-Wolves,Sabine Baring-Gould,1865,en,,,,5324,,,GREEN,[V],3,5,4,4,2,4,2,5,4,82.4,3,both,Bestiarium 'Shape-Changers' sınıfının kaynak cildi
Valice Classics (Stoa & Felsefe),"Ad Lucilium Epistulae Morales (Loeb, cilt 1–3)",Seneca,65,la,Richard M. Gummere,1917,1919,,adluciliumepistu02sene,IA: adluciliumepistu03sene,GREEN,IA NOT_IN_COPYRIGHT [V]; Gummere ö.1919 → 1990 [A]; US 1917–1925 (cilt 3 1925 ✓),4,5,2,4,3,5,2,4,5,82.2,2,both,Kitap 14: Seçme Mektuplar (Annotated) — Gummere metni Long'un Meditations'ı gibi 'standart' ve serbest
Mitoloji & Folklor (bölgesel derleme),"Korean Folk Tales: Imps, Ghosts and Fairies (Gale çevirisi)",Im Bang & Yi Ryuk,1913,ko,James S. Gale,1913,1937,51002,,,GREEN,Gale ö.1937 → 2008 [V],3,5,4,4,2,4,2,4,5,82.0,3,both,Hangul serisi + Bestiarium (Kore yaratıkları) köprüsü — Valice'e özgü adjacency
Oyunlar,"Korean Games, with Notes on the Corresponding Games of China and Japan",Stewart Culin,1895,en,,,,,koreangameswith00culigoog,,GREEN,NOT_IN_COPYRIGHT [V]; Culin ö.1929,3,5,5,4,4,4,3,4,5,81.4,3,both,Hangul serisi + World Games köprüsü: Kore oyunları; Valice'in iki serisini birleştiren tek kaynak
Valice Classics (Stoa & Felsefe),Meditations (George Long çevirisi),Marcus Aurelius,180,grc,George Long,1862,1879,15877,,,GREEN,Çeviri 1862; Long ö.1879 → 1949 [V]. Yayında (direct $9.99); farklılaştırma yükseltmesi gerekli,4,5,2,3,2,5,2,4,5,81.4,2,both,"Kitap 18: Valice Annotated Edition yükseltmesi (giriş, notlar, sözlük, kronoloji)"
Mitoloji & Folklor (kaynak metin),The Younger Edda (Anderson çevirisi),Snorri Sturluson,1220,non,Rasmus B. Anderson,1880,1936,18947,,,GREEN,Anderson ö.1936 → 2007 [V],3,5,4,4,3,4,2,4,5,80.4,3,both,Norse kaynak metin (GREEN alternatif)
Mitoloji & Folklor (kaynak metin),"Bulfinch's Mythology (Age of Fable, Chivalry, Charlemagne)",Thomas Bulfinch,1855,en,,,,4928,,PG 56644 alternatif,GREEN,Bulfinch ö.1867 [V],4,5,3,3,3,4,2,5,4,79.8,3,both,En bilinen PD mitoloji kaynağı; rekabet yoğun → yalnızca güçlü aparatla
Mitoloji & Folklor (kaynak metin),"The Metamorphoses of Ovid (düzyazı, I–VII)",Ovid,8,la,Henry T. Riley,1851,1878,21765,,,GREEN,"Riley ö.1878 [V]; PG 28621 (Brookes More manzum, 1922; More ö.1942 → 2013) alternatif",3,5,4,4,3,4,2,4,4,79.4,3,both,Codex ile 40+ mit çapraz referansı
Mitoloji & Folklor (bölgesel derleme),Myths of Babylonia and Assyria,Donald A. Mackenzie,1915,en,,,,16653,,,GREEN,Mackenzie ö.1936 → 2007 [V],3,5,4,4,3,4,2,4,4,79.4,4,both,Codex Mythologica'nın Mezopotamya bölümü; Mackenzie'nin Egyptian/Indian/Teutonic ciltleri IA'da (kimlik DOĞRULANMADI)
Hayalet & Strange Tales,"Kotto: Being Japanese Curios, with Sundry Cobwebs",Lafcadio Hearn,1902,en,,,,55473,,,GREEN,[V],3,4,4,4,2,4,2,4,5,79.0,3,both,Kwaidan'ın devamı; Hearn üçlemesi bundle
Mitoloji & Folklor (kaynak metin),The Poetic Edda,anonim,1270,non,Henry Adams Bellows,1923,1939,73533,,,GREEN,US 1923 [V]; Bellows ö.1939 → 2010 [A],3,5,3,4,3,4,2,4,5,78.8,3,both,Norse çizgisinin ikinci kaynağı; notlar zaten zengin → özgün aparat şart
Mitoloji & Folklor (bölgesel derleme),Turkish Fairy Tales and Folk Tales,Ignácz Kúnos (çev. R. Nisbet Bain),1896,tr,R. Nisbet Bain,1896,1909,64807,,,GREEN,Kúnos ö.1945 → 2016; Bain ö.1909 [V],3,4,4,4,2,4,2,4,4,78.0,3,both,Founder'ın kültürel avantajı: Türk masalları edisyonu (özgün notlarla)
Mitoloji & Folklor (kaynak metin),"Hesiod, the Homeric Hymns, and Homerica",Hesiod,-700,grc,Hugh G. Evelyn-White,1914,1924,348,,,GREEN,Evelyn-White ö.1924 [V]; US 1914,3,5,3,4,3,4,2,4,4,77.8,3,both,Codex Mythologica'nın Yunan kaynak metni; mit indeksiyle çapraz bağlantı
Mitoloji & Folklor (kaynak metin),The Prose Edda,Snorri Sturluson,1220,non,Arthur Gilchrist Brodeur,1916,1971,,proseedda01brodgoog,,YELLOW,"IA NOT_IN_COPYRIGHT (ABD, 1916) [V]; Brodeur ö.1971 → AB/UK/TR'de 2042'ye kadar TELİFLİ [A]. Alternatif: Anderson 1880 (PG 18947, GREEN)",4,5,4,4,3,4,2,4,5,77.4,3,both,Norse cildi için Anderson'ı kullan; Brodeur'u yalnızca ABD satışında düşün — önerilmez
Genç Okur (klasik yeniden anlatım),The Book of Dragons,E. Nesbit,1900,en,,,,23661,,,GREEN,Nesbit ö.1924 [V],3,4,4,3,1,4,2,4,4,77.2,4,both,Ejderha cildi ile genç okur bundle
Mitoloji & Folklor (bölgesel derleme),Korean Fairy Tales,William Elliot Griffis,1922,en,,,,67180,,,GREEN,US 1922; Griffis ö.1928 [V],3,5,3,3,2,4,2,4,4,77.0,4,both,Genç okur Kore cildi
Mitoloji & Folklor (kaynak metin),"Egyptian Tales, Translated from the Papyri (1. ve 2. seri)",W. M. Flinders Petrie (ed.),1895,egy,Petrie / Griffith,1895,1942,7386,,PG 7413 (2. seri),GREEN,Petrie ö.1942 → 2013 [V],3,4,3,4,2,4,2,4,4,76.4,3,both,Batch 3 'Budge' yerine daha kısa ve temiz Mısır kaynağı
Mitoloji & Folklor (kaynak metin),Legends of the Gods: The Egyptian Texts,E. A. Wallis Budge,1912,egy,Budge,1912,1934,9411,,,GREEN,Budge ö.1934 → 2005 [V],3,4,4,4,3,4,2,4,4,76.4,3,both,Batch 3 (ACTIVE plan); hiyeroglif metin dahil — yalnızca İngilizce kısım
Mitoloji & Folklor (bölgesel derleme),Popular Tales from the Norse (Asbjørnsen & Moe),P. C. Asbjørnsen & J. Moe,1845,no,G. W. Dasent,1859,1896,8933,,PG 36385 (Tales from the Fjeld),GREEN,Dasent ö.1896 [V],3,4,4,3,2,4,2,4,4,75.6,4,both,Norse folklor cildi
Mitoloji & Folklor (bölgesel derleme),Celtic Fairy Tales / More Celtic Fairy Tales,Joseph Jacobs,1892,en,,,,7885,,PG 34453,GREEN,Jacobs ö.1916 [V],3,4,4,3,2,4,2,4,4,75.6,4,both,Genç okur Kelt
Mitoloji & Folklor (bölgesel derleme),Japanese Fairy Tales,Yei Theodora Ozaki,1908,en,,,,4018,,,GREEN,Ozaki ö.1932 → 2003 [V],3,4,4,3,2,4,2,4,4,75.6,4,both,Genç okur Japon cildi
Mitoloji & Folklor (bölgesel derleme),Tales of Old Japan,A. B. Mitford (Lord Redesdale),1871,en,,,,13015,,,GREEN,Mitford ö.1916 [V],3,4,4,3,2,4,2,4,4,75.6,4,both,47 Ronin; Japon ikilisi
Valice Classics (Stoa & Felsefe),The Consolation of Philosophy,Boethius,524,la,H. R. James,1897,1931,14328,,,GREEN,James ö.1931 → 2002 [A: ölüm yılı ikincil]. PG 23082 (W. V. Cooper 1902) alternatif,3,4,2,4,2,4,2,4,4,74.8,4,both,Valice Classics #4: kronoloji + felsefi sözlük
Mitoloji & Folklor (bölgesel derleme),The Chinese Fairy Book,"Richard Wilhelm (ed.), Frederick H. Martens (çev.)",1921,de,Frederick H. Martens,1921,1932,29939,,,GREEN,Wilhelm ö.1930 → 2001; Martens ö.1932 → 2003 [A],3,4,4,3,2,4,2,3,4,74.2,4,both,Genç okur Çin cildi; Werner ile bundle
Mitoloji & Folklor (kaynak metin),The Mabinogion,anonim (Lady Charlotte Guest çevirisi),1350,cy,Charlotte Guest,1849,1895,5160,,PG 19959/19976 (ciltler),GREEN,Guest ö.1895 [V],3,4,4,3,3,4,2,4,4,74.0,4,both,Kelt cildi (Genç okur veya Classics)
Mitoloji & Folklor (bölgesel derleme),Fairy and Folk Tales of the Irish Peasantry,W. B. Yeats (ed.),1888,en,,,,33887,,,GREEN,Yeats ö.1939 → 2010 [V],3,4,3,3,2,4,2,4,4,74.0,4,both,Celtic Twilight (PG 10459) ile İrlanda ikilisi
Mitoloji & Folklor (bölgesel derleme),Russian Fairy Tales: A Choice Collection of Muscovite Folk-lore,W. R. S. Ralston,1873,en,,,,22373,,,GREEN,Ralston ö.1889 [V],3,4,3,3,2,4,2,4,4,74.0,4,both,Slav cildi (Books 21–50)
Mitoloji & Folklor (bölgesel derleme),"Myths and Folk-tales of the Russians, Western Slavs, and Magyars",Jeremiah Curtin,1890,en,,,,50011,,,GREEN,Curtin ö.1906 [V],3,4,3,3,2,4,2,4,4,74.0,4,both,Slav cildi ikinci kaynak
Mitoloji & Folklor (bölgesel derleme),Chinese Ghouls and Goblins,G. Willoughby-Meade,1928,en,,,,,chinese-ghouls-and-goblins,,YELLOW,US 1928 PD [V]; yazarın ölüm yılı DOĞRULANMADI → UK/AB/TR belirsiz,3,5,4,4,3,4,2,4,4,73.4,5,future,Bestiarium'un Çin yaratıkları için birincil kaynak — hak sorusu çözülmeden kullanma
Oyunlar,Games of the North American Indians,Stewart Culin,1907,en,,,,,gamesofnorthamer00culirich,IA: in.ernet.dli.2015.31459,GREEN,NOT_IN_COPYRIGHT [V]; Culin ö.1929 → 2000. Hukuken serbest; KÜLTÜREL DANIŞMA ön koşul [R],3,4,4,4,5,4,3,4,3,73.2,6,future,Bilinçli olarak EN SON: yerli kültürel danışma yapılmadan başlamaz
Hayalet & Strange Tales,Ghost Stories of an Antiquary,M. R. James,1904,en,,,,8486,,PG 20039,GREEN,James ö.1936 → 2007 [V],3,3,4,3,1,4,2,4,3,73.2,5,future,Kalabalık köşe; yalnızca 'Valice Ghosts' bundle'ı için
Mitoloji & Folklor (kaynak metin),The Popol Vuh: The Mythic and Heroic Sagas of the Kichés,Lewis Spence,1908,en,,,,56550,,,GREEN,Spence ö.1955 → hayat+70 2026-01-01'de doldu [V]; US 1908,3,4,3,3,2,4,2,4,3,73.0,4,both,Mezoamerika; World Myths'in Maya/Aztek bölümüyle çapraz
Mitoloji & Folklor (bölgesel derleme),The Panchatantra (Ryder çevirisi),Vishnu Sharma (atf.),300,sa,Arthur W. Ryder,1925,1938,,,identifier not confirmed,GREEN,US 1925 → PD 2021 [V kural]; Ryder ö.1938 → 2009 [A]; KİMLİK DOĞRULANMADI (IA/ sacred-texts),3,4,3,3,2,4,2,4,3,73.0,5,future,Kimlik doğrulanınca puanla
Valice Classics (Stoa & Felsefe),The Golden Sayings of Epictetus,Epictetus,108,grc,Hastings Crossley,1903,1914,871,,,GREEN,Crossley ö.1914 [A: ölüm yılı ikincil],3,4,2,3,1,4,2,3,4,72.6,4,web-only,Alternatif seçki; Long ile karşılaştırma notu
Mitoloji & Folklor (bölgesel derleme),Gods and Fighting Men,Lady Augusta Gregory,1904,en,,,,14465,,,GREEN,Gregory ö.1932 → 2003 [V],3,4,3,3,3,4,2,4,4,72.4,4,both,İrlanda mitolojisi; Rolleston ile bundle
Bulmaca & Rekreasyonel Matematik,Mathematical Recreations and Essays (4. baskı),W. W. Rouse Ball,1905,en,,,,26839,,,GREEN,US 1905; Rouse Ball ö.1925 → 1996 [V]. DİKKAT: Coxeter'in sonraki baskıları (1939+) teliflidir,3,4,2,4,3,4,2,4,3,72.2,4,web-only,Codex Enigmatica okuru için 'matematiksel bulmacaların tarihi' bağlam cildi
Mitoloji & Folklor (bölgesel derleme),The Heroes of Asgard: Tales from Scandinavian Mythology,Annie & Eliza Keary,1857,en,,,,41283,,,GREEN,[V],3,4,3,3,2,3,2,4,4,72.0,4,both,Genç okur Norse; Field Book çapraz
Hayalet & Strange Tales,In a Glass Darkly,J. S. Le Fanu,1872,en,,,,37172,,PG 37173/37174,GREEN,Le Fanu ö.1873 [V],3,3,4,3,2,4,2,4,3,71.6,5,future,Carmilla dahil; genç okur DEĞİL
Mitoloji & Folklor (bölgesel derleme),Myths & Legends of Japan,F. Hadland Davis,1912,en,,,,45723,,,YELLOW,US 1912 PD [V]; Davis'in ölüm yılı DOĞRULANMADI,3,5,4,3,3,4,2,4,4,71.0,4,both,Japon cildi; Hearn/Ozaki/Mitford GREEN alternatifler
Bestiary & Yaratık,The Old English Physiologus (Cook çevirisi),Cynewulf (atf.),1000,ang,Albert S. Cook,1921,1927,14529,,,GREEN,Cook ö.1927 [V]; US 1921,2,4,4,4,2,3,1,3,4,70.6,5,web-only,Kısa; ortaçağ bestiary formunun 'kaynak notu' cildi
Oyunlar,Hoyle's Games Modernized,Prof. Hoffmann (Angelo Lewis),1909,en,,,,39445,,,GREEN,US 1909; Lewis ö.1919 [V],3,4,2,3,3,4,3,3,4,70.4,4,web-only,World Games cilt 2 (kart/zar) için kural kaynağı
Oyunlar,Foster's Complete Hoyle,R. F. Foster,1897,en,,,,53881,,,GREEN,US 1897; Foster ö.1945 → 2016 [V],3,4,2,3,3,4,3,3,4,70.4,4,web-only,Kart oyunları referansı
Genç Okur (klasik yeniden anlatım),A Wonder Book and Tanglewood Tales,Nathaniel Hawthorne,1852,en,,,,35377,,PG 976 / 32242,GREEN,Hawthorne ö.1864 [V],3,4,4,2,2,3,2,4,3,70.2,5,future,The Great Book of… için Yunan mitleri (rekabet yoğun)
Valice Classics (Stoa & Felsefe),The Teaching of Epictetus,Epictetus,108,grc,T. W. Rolleston,1888,1920,39855,,,GREEN,Rolleston ö.1920 [V],2,4,2,3,1,4,2,3,4,69.6,5,future,Üçüncü çeviri seçeneği
Mitoloji & Folklor (bölgesel derleme),The Celtic Twilight,W. B. Yeats,1893,en,,,,10459,,,GREEN,[V],2,4,2,3,1,4,2,3,4,69.6,5,web-only,Kısa; bundle dolgusu
Mitoloji & Folklor (bölgesel derleme),English Fairy Tales,Joseph Jacobs,1890,en,,,,26460,,,GREEN,[V],3,3,4,2,2,4,2,4,3,69.2,5,future,Rekabet çok yoğun (Lang/Jacobs bedava her yerde) → yalnızca güçlü aparatla
Oyunlar,A History of Chess,H. J. R. Murray,1913,en,,,,,historyofchess0000hjrm,IA: AHistoryOfChessHJRMurray,GREEN,US 1913 [V]; Murray ö.1955 → hayat+70 2026-01-01'de doldu (AB/UK/TR) [V],3,3,3,4,5,4,3,4,3,68.6,5,future,900 sayfa; yalnızca seçki/özet edisyon mantıklı; üretim çok ağır
Bestiary & Yaratık,"The Natural History of Pliny (Bostock & Riley, 6 cilt)",Pliny the Elder,77,la,Bostock & Riley,1855,1878,57493,,PG 59131 (cilt 3)…,GREEN,"Bostock ö.1846, Riley ö.1878 [V]",3,4,3,4,5,3,2,4,3,68.6,5,future,Yalnızca 'Kitap VIII–XI: hayvanlar' seçkisi
Genç Okur (klasik yeniden anlatım),"The Heroes; or, Greek Fairy Tales for My Children",Charles Kingsley,1856,en,,,,677,,,GREEN,Kingsley ö.1875 [V],3,4,3,2,2,3,2,4,3,68.6,5,future,Aynı
Bulmaca & Rekreasyonel Matematik,Puzzles and Curious Problems,Henry E. Dudeney,1931,en,,,,,in.ernet.dli.2015.219121,,YELLOW,US yayın 1931 → 95 yıl kuralıyla 2027-01-01'de PD; hayat+70 ülkelerinde zaten serbest. 2027'ye kadar ABD'de kullanma [V/A],3,4,3,4,3,4,2,3,4,67.4,4,future,2027'de Dudeney cilt 2 için kaynak
Valice Classics (Stoa & Felsefe),Apology,Plato,-399,grc,Benjamin Jowett,1871,1893,1656,,,GREEN,Jowett ö.1893 [V],3,3,1,3,1,4,2,3,3,67.0,5,future,Kısa; 'Felsefeye Giriş' bundle'ı için
Mitoloji & Folklor (kaynak metin),Nihongi: Chronicles of Japan,anonim,720,ja,W. G. Aston,1896,1911,,nihongi1asto,"IA: nihongi2asto (Public domain, kütüphane beyanı)",GREEN,Aston ö.1911 [V],2,4,3,4,4,3,2,3,4,66.8,5,future,Japon mit kaynağı; Kojiki (Chamberlain 1882) ile birlikte seçki — Kojiki kimliği DOĞRULANMADI
Mitoloji & Folklor (kaynak metin),Kojiki (Chamberlain çevirisi),anonim,712,ja,Basil Hall Chamberlain,1882,1935,,,identifier not confirmed (IA / sacred-texts),GREEN,Chamberlain ö.1935 → 2006 [V]; KİMLİK DOĞRULANMADI,2,4,3,4,4,3,2,3,4,66.8,5,future,Nihongi ile birlikte seçki
Mitoloji & Folklor (bölgesel derleme),Folk-Tales of Bengal,Lal Behari Day,1883,en,,,,38488,,,GREEN,Day ö.1892 [V],2,4,3,3,2,3,2,3,3,66.6,5,future,Güney Asya cildi
Mitoloji & Folklor (bölgesel derleme),Jataka Tales / More Jataka Tales,Ellen C. Babbitt,1912,en,,,,62514,,PG 7518,YELLOW,US 1912/1922 PD [V]; Babbitt'in ölüm yılı DOĞRULANMADI,3,4,3,3,1,3,2,4,3,66.6,5,future,Genç okur; kısa fabllar
Mitoloji & Folklor (kaynak metin),"The Thousand and One Nights, Vol. I (Lane)",anonim,1400,ar,Edward W. Lane,1840,1876,34206,,,GREEN,Lane ö.1876 [V]; içerik/uygunluk dikkat (genç okur DEĞİL),3,3,4,3,4,3,2,4,3,66.4,6,future,Yetişkin klasik; illüstrasyon potansiyeli yüksek
Mitoloji & Folklor (bölgesel derleme),The Blue Fairy Book,Andrew Lang,1889,en,,,,503,,,GREEN,Lang ö.1912 [V],3,3,4,2,2,3,1,4,3,66.2,6,future,En kalabalık PD köşesi [S]; Valice için düşük farklılaştırma
Genç Okur (klasik yeniden anlatım),Old Greek Folk Stories Told Anew,Josephine Preston Peabody,1897,en,,,,9313,,,GREEN,Peabody ö.1922 [V],2,4,3,2,1,3,2,3,3,65.8,6,future,Aynı
Hayalet & Strange Tales,Can Such Things Be?,Ambrose Bierce,1893,en,,,,4366,,,GREEN,Bierce ö.~1914 [V],2,3,3,3,1,3,2,3,3,65.2,6,future,Bundle dolgusu
Mitoloji & Folklor (bölgesel derleme),Filipino Popular Tales,Dean S. Fansler,1921,en,,,,8299,,,GREEN,US 1921; Fansler ö.1945 → 2016 [V],2,4,3,3,3,3,2,3,3,65.0,5,future,Bestiarium'un tikbalang kaynağı; SE Asya cildi
Mitoloji & Folklor (bölgesel derleme),West African Folk-Tales,W. H. Barker & C. Sinclair,1917,en,,,,66923,,,YELLOW,US 1917 PD [V]; yazarların ölüm yılları DOĞRULANMADI,3,4,3,3,2,3,2,4,3,65.0,5,future,World Myths'in Yoruba/Akan bölümüyle çapraz
Genç Okur (klasik yeniden anlatım),The Fables of Aesop (Jacobs),Aesop / Joseph Jacobs,1894,grc,Joseph Jacobs,1894,1916,28,,,GREEN,[V],2,3,4,2,1,3,1,4,3,64.8,6,future,Her yerde bedava; yalnızca illüstrasyonlu premium mantıklı
Bulmaca & Rekreasyonel Matematik,Games and Songs of American Children,William Wells Newell,1883,en,,,,45762,,,GREEN,US 1883; Newell ö.1907 [V],2,3,3,3,2,3,2,3,3,63.6,5,future,Field Book / genç okur çizgisine oyun kaynağı
Mitoloji & Folklor (bölgesel derleme),Cossack Fairy Tales and Folk Tales,R. Nisbet Bain (çev.),1894,uk,R. Nisbet Bain,1894,1909,29672,,,GREEN,Bain ö.1909 [V],2,3,3,3,2,3,2,3,3,63.6,5,future,Slav cildine ek
Mitoloji & Folklor (bölgesel derleme),Wigwam Evenings: Sioux Folk Tales Retold,Charles A. & Elaine Goodale Eastman,1909,en,,,,28099,,,GREEN,Eastman ö.1939 → 2010; E. Goodale ö.1953 → 2024 [V],2,3,3,3,2,3,2,3,3,63.6,6,future,Yerli anlatı: kültürel danışma ön koşul (Culin ile aynı kural)
Mitoloji & Folklor (kaynak metin),"Kalevala, The Land of the Heroes (2 cilt)",Elias Lönnrot,1849,fi,W. F. Kirby,1907,1912,25953,,PG 33089 (cilt 2),GREEN,Kirby ö.1912 [V],2,4,3,3,4,3,2,3,3,63.4,5,future,Uzun; seçki + Finlandiya folklor cildi
Hayalet & Strange Tales,Glimpses of Unfamiliar Japan,Lafcadio Hearn,1894,en,,,,8130,,,GREEN,[V],2,3,3,3,3,3,2,3,4,63.0,5,future,Bağlam cildi
Valice Classics (Stoa & Felsefe),Essays of Michel de Montaigne — Complete,Montaigne,1580,fr,Charles Cotton (ed. W. C. Hazlitt),1685,1687,3600,,,GREEN,[V]; çok uzun — seçki edisyonu,3,3,1,3,4,4,2,3,3,62.2,5,future,'Seçme Denemeler' 200 sayfa seçki
Mitoloji & Folklor (bölgesel derleme),The Myths of the North American Indians,Lewis Spence,1914,en,,,,42390,,,GREEN,Spence ö.1955 → 2026 [V],2,3,3,3,3,3,2,3,3,62.0,6,future,Aynı kural: danışma olmadan başlamaz
Mitoloji & Folklor (bölgesel derleme),Myths That Every Child Should Know,Hamilton Wright Mabie (ed.),1905,en,,,,16537,,,GREEN,Mabie ö.1916 [V],2,3,2,2,1,3,2,3,3,61.2,6,future,Genç okur derleme; düşük farklılaştırma
Valice Classics (Stoa & Felsefe),On the Nature of Things,Lucretius,-55,la,William Ellery Leonard,1916,1944,785,,,GREEN,Leonard ö.1944 → 2015 [A]; US 1916 [V],2,3,2,3,3,3,2,3,3,60.4,6,future,Stoa dışı; Epikürcü karşıt ses olarak bundle'a derinlik
Oyunlar,Chess in Iceland and in Icelandic Literature,Willard Fiske,1905,en,,,,,chessinicelandin00fiskuoft,,GREEN,NOT_IN_COPYRIGHT [V]; Fiske ö.1904,2,3,3,3,4,3,2,3,2,59.4,6,future,Niş; Norse çizgisiyle çapraz
Mitoloji & Folklor (kaynak metin),"The Mahabharata (Ganguli, düzyazı)",Vyasa,-400,sa,Kisari Mohan Ganguli,1896,1908,15474,,PG 15475…,GREEN,Ganguli ö.1908 [V]; devasa hacim,2,3,3,3,5,3,2,3,3,58.8,6,future,Yalnızca seçki (ör. Bhagavad-Gita'sız 'kahraman hikâyeleri')
Mitoloji & Folklor (kaynak metin),The Rámáyan of Válmíki (manzum),Valmiki,-400,sa,Ralph T. H. Griffith,1874,1906,24869,,,GREEN,Griffith ö.1906 [V],2,3,3,3,5,3,2,3,3,58.8,6,future,Seçki
Mitoloji & Folklor (bölgesel derleme),Household Tales by Brothers Grimm (Hunt çevirisi),J. & W. Grimm,1812,de,Margaret Hunt,1884,1912,5314,,,GREEN,Hunt ö.1912 [V],2,3,3,2,3,3,1,3,3,58.6,6,future,Aynı sebeple düşük öncelik
