id,story,tradition,claim,type,confidence,source,location,status
C-097,6,Babylonia,The surviving copies come from Assurbanipal's library at Kouyunjik and carry his colophon,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, colophon of the first tablet",
C-098,6,Babylonia,"Smith and Sayce judged the surviving version Assyrian rather than Babylonian in its present form, probably composed under Assurbanipal",SECONDARY SCHOLARSHIP,HIGH,Smith/Sayce 1880,"ch. V, opening","Reported as their judgement, not as settled fact"
C-099,6,Babylonia,"Smith announced the flood tablet to the Society of Biblical Archaeology on 3 December 1872, after which the Daily Telegraph funded an excavation, and he died on the 1875-76 expedition",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,ch. I,The source says he 'fell a victim to over-fatigue'; the story quotes that phrasing rather than narrating a death scene
C-100,6,Babylonia,Smith was a banknote engraver who taught himself cuneiform at the British Museum,SECONDARY SCHOLARSHIP,HIGH,standard biography; not stated in this source,—,
C-101,6,Babylonia,"Hebrew tehom and Assyrian Tiamat are the same word, and Smith makes the identification",PRIMARY SOURCE,HIGH,Smith/Sayce 1880,ch. V commentary on Genesis i.2,
C-102,6,Babylonia,Smith's book frames the poem against Genesis and tabulates his tablets against the six days,PRIMARY SOURCE,HIGH,Smith/Sayce 1880,"ch. V, the Genesis/tablet table",
C-103,6,Babylonia,"L. W. King, The Seven Tablets of Creation (London, 1902), is the standard edition that superseded Smith and recovered much more of the poem",SECONDARY SCHOLARSHIP,HIGH,standard bibliography,—,NAMED NOT USED — no material from King is in this retelling
C-104,6,Babylonia,Enuma Elis was recited at the Babylonian New Year festival,SECONDARY SCHOLARSHIP,HIGH,standard Assyriology,—,
C-105,6,Babylonia,The Nile's flood is regular and fertilising while the Tigris and Euphrates flood violently and unpredictably,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — the comparative reading explicitly declines to claim that hydrology produced the theology
C-106,6,Babylonia,Babylon's cosmogony is a matricide while Iran's is a defence against an outsider and Greece's a wound to the father,EDITORIAL INTERPRETATION,—,—,—,MARKED IN TEXT — this is the story's comparative reading
C-107,7,Haudenosaunee · Onondaga,The narrator opens by attributing the legend to five generations of grandfathers,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",report p. 141,
C-108,7,Haudenosaunee · Onondaga,"Man-beings dwell on the farther side of the visible sky, which is the ground of the world above",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 141,
C-109,7,Haudenosaunee · Onondaga,The Mohawk version says the sky people knew neither weeping nor death,PRIMARY SOURCE,HIGH,"Hewitt, Mohawk version (Seth Newhouse)",p. 255,
C-110,7,Haudenosaunee · Onondaga,"Down-fending was a custom of secluding a child marked at birth as carrying unusual power, with cat-tail down scattered to reveal intruders",SECONDARY SCHOLARSHIP,HIGH,Hewitt's footnote,p. 255 n.b; p. 142,"Hewitt calls the custom 'now almost, if not wholly, obsolete'"
C-111,7,Haudenosaunee · Onondaga,The maiden crossed the lodge each morning to comb and straighten the man-being's hair,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 142-143,
C-112,7,Haudenosaunee · Onondaga,"She became pregnant and would not say by whom, when asked twice",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version","pp. 143, 145",
C-113,7,Haudenosaunee · Onondaga,"Nobody in the sky world had died before, and they did not know what it meant to say 'I shall die'",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 144,
C-114,7,Haudenosaunee · Onondaga,"His mother closed his eyes with both hands and began to weep, and all in the lodge wept",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 144,
C-115,7,Haudenosaunee · Onondaga,The girl child wept five days and was quieted only by being lifted to the burial case,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 145,
C-116,7,Haudenosaunee · Onondaga,"She brought down a wampum armlet and later a necklace, saying her father gave them to her",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 145-147,
C-117,7,Haudenosaunee · Onondaga,"The dead father instructed her to bake a basket of bread, not to stop or answer on the road, and named the maple log crossing and the tree Tooth",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 147-149,
C-118,7,Haudenosaunee · Onondaga,The blossoms of the tree called Tooth are the source of light for that world,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 149,
C-119,7,Haudenosaunee · Onondaga,"Aurora Borealis and Fire Dragon of the Storm spoke to her on the road, and the chief himself waited at the crossing to test her",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 150-152,
C-120,7,Haudenosaunee · Onondaga,"She said 'Thou and I marry' and handed him the basket, and he said nothing",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 152,
C-121,7,Haudenosaunee · Onondaga,"The ordeal required her to make mush naked, be scalded without flinching, then be licked raw by two white dogs and restored with sunflower oil",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 153-156,
C-122,7,Haudenosaunee · Onondaga,He said no one from anywhere had been able to do it before,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 155,
C-123,7,Haudenosaunee · Onondaga,"He shook the basket seven times to fill it, and sent word that the lodges were to be unroofed; corn then rained into them",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 156-158,
C-124,7,Haudenosaunee · Onondaga,"The narrator explains her second pregnancy as caused by catching the chief's breath while they conversed, and generalises this as the origin of reproduction for man-beings and animals",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 159-160,"This is the narrator's own explanatory aside; the story presents it as his, not as a general Haudenosaunee doctrine"
C-125,7,Haudenosaunee · Onondaga,"The chief became ill and jealous without understanding why, and foretold a daughter named Zephyrs (Gusts-of-wind)",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 160-162,
C-126,7,Haudenosaunee · Onondaga,"A dream feast was held to divine the chief's Word, attended by Deer, Great-horned Deer, Spotted Fawn, Red Meteor, Great Turtle, Wind-who-moves-about, Daylight, Night, Thick Night, Duck, Fresh Water, Yellowhammer, Medicine and Aurora Borealis",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 163-167,
C-127,7,Haudenosaunee · Onondaga,"Aurora Borealis divined the Word: uproot the tree Tooth, tear the earth open, all look in, and the wife sit with her legs in the abyss",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 166-167,
C-128,7,Haudenosaunee · Onondaga,"He gave her dried spotted-fawn meat and three fagots of wood, then seized the nape of her neck and pushed her into the abyss",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 168-170,
C-129,7,Haudenosaunee · Onondaga,"Falling, she saw blue light and a lake covered with ducks, and no earth anywhere",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 171,
C-130,7,Haudenosaunee · Onondaga,The Loon saw her first; the Otter tried to bear the assembly and sank; the Turtle bore them all,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 171-173,
C-131,7,Haudenosaunee · Onondaga,"The Muskrat surfaced dead with earth in his paws and mouth, and the earth was placed on the Turtle's carapace, which then grew",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 173,
C-132,7,Haudenosaunee · Onondaga,The large waterfowl joined their bodies to catch her and set her on the carapace,PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",p. 174,
C-133,7,Haudenosaunee · Onondaga,"She lit the first fire with the three fagots, butchered a deer left for her, and three nights later gave birth to Zephyrs a second time",PRIMARY SOURCE,HIGH,"Hewitt, Onondaga version",pp. 174-175,
C-134,7,Haudenosaunee · Onondaga,"Hewitt printed three versions — Onondaga (John Buck, 1889/1897), Seneca (John Armstrong, 1896, revised with Andrew John), Mohawk (Seth Newhouse, 1896-97) — and they differ substantially",PRIMARY SOURCE,HIGH,Hewitt's introduction,pp. 127-128,
C-135,7,Haudenosaunee · Onondaga,Hewitt says Buck's version is shorter because the relator seemed averse to telling more than a brief outline,PRIMARY SOURCE,HIGH,Hewitt's introduction,p. 127,
C-136,7,Haudenosaunee · Onondaga,In the Seneca version the girl's father is lean and dried with what the translation calls jealousy over the child,PRIMARY SOURCE,HIGH,"Hewitt, Seneca version",p. 221,
C-137,7,Haudenosaunee · Onondaga,In the Mohawk version the two down-fended persons are explicitly brother and sister,PRIMARY SOURCE,HIGH,"Hewitt, Mohawk version",p. 255,
C-138,7,Haudenosaunee · Onondaga,"Hewitt records a fuller Onondaga version from Chief John Arthur Gibson, promised for a later report",PRIMARY SOURCE,HIGH,Hewitt's introduction,p. 127,
C-139,7,Haudenosaunee · Onondaga,Hewitt argued that such narratives must be recorded in the vernacular with both literal and free renderings,PRIMARY SOURCE,HIGH,Hewitt's introduction,p. 130,
C-140,7,Haudenosaunee · Onondaga,"Hewitt's commentary uses the evolutionary vocabulary of its period — 'primitive people', 'barbaric man', 'the reified fictions of savage mentation'",PRIMARY SOURCE,HIGH,Hewitt's introduction and footnotes,"pp. 129-131, 141 n.a",
